Record{date=1518-03-08T23:46, eventType=SHIFT_BEGINS, guardId=2591}
Record{date=1518-03-09T00:02, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-09T00:55, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-09T23:54, eventType=SHIFT_BEGINS, guardId=947}
Record{date=1518-03-10T00:05, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-10T00:38, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-10T23:56, eventType=SHIFT_BEGINS, guardId=443}
Record{date=1518-03-11T00:22, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-11T00:27, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-11T00:35, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-11T00:56, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-12T00:03, eventType=SHIFT_BEGINS, guardId=2521}
Record{date=1518-03-13T00:01, eventType=SHIFT_BEGINS, guardId=2141}
Record{date=1518-03-13T00:32, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-13T00:36, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-13T00:44, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-13T00:58, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-13T23:54, eventType=SHIFT_BEGINS, guardId=3541}
Record{date=1518-03-14T00:04, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-14T00:28, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-14T00:32, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-14T00:50, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-15T00:04, eventType=SHIFT_BEGINS, guardId=1931}
Record{date=1518-03-15T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-15T00:48, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-16T00:04, eventType=SHIFT_BEGINS, guardId=2789}
Record{date=1518-03-16T00:28, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-16T00:43, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-16T23:56, eventType=SHIFT_BEGINS, guardId=1889}
Record{date=1518-03-17T00:28, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-17T00:49, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-17T23:56, eventType=SHIFT_BEGINS, guardId=2963}
Record{date=1518-03-18T23:50, eventType=SHIFT_BEGINS, guardId=2591}
Record{date=1518-03-19T00:00, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-19T00:43, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-20T00:02, eventType=SHIFT_BEGINS, guardId=3541}
Record{date=1518-03-20T00:06, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-20T00:55, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-21T00:04, eventType=SHIFT_BEGINS, guardId=3529}
Record{date=1518-03-21T00:31, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-21T00:59, eventType=WAKE_UP, guardId=0}
Record{date=1518-03-21T23:56, eventType=SHIFT_BEGINS, guardId=233}
Record{date=1518-03-22T00:21, eventType=FALL_ASLEEP, guardId=0}
Record{date=1518-03-22T00:44, eventType=WAKE_UP, guardId=0}
